variavel;descricao;codigo;rotulo
GESTAO;Indica o tipo de gestão do hospital;0;Estadual
GESTAO;Indica o tipo de gestão do hospital;2;Estadual plena
GESTAO;Indica o tipo de gestão do hospital;1;Municipal planea assist
GESTAO;Indica o tipo de gestão do hospital;3;NA
GESTAO;Indica o tipo de gestão do hospital;4;NA
ESPEC;Especialidade do leito;1;Cirurgia
ESPEC;Especialidade do leito;2;Obstetrícia
ESPEC;Especialidade do leito;3;Clínica médica
ESPEC;Especialidade do leito;4;Crônicos
ESPEC;Especialidade do leito;5;Psiquiatria
ESPEC;Especialidade do leito;6;Pneumologia sanitária
ESPEC;Especialidade do leito;7;Pediatria
ESPEC;Especialidade do leito;8;Reabilitação
ESPEC;Especialidade do leito;9;Hospital dia (cirúrgicos)
ESPEC;Especialidade do leito;10;Hospital dia (AIDS)
ESPEC;Especialidade do leito;11;Hospital dia (fibrose cístic
ESPEC;Especialidade do leito;12;Hospital dia (intercorrência pós transplantes)
ESPEC;Especialidade do leito;13;Hospital dia (geriatria)
ESPEC;Especialidade do leito;14;Hospital dia (saúde mental)
Sexo;;1;Masculino
Sexo;;2;Feminino
Sexo;;3;Feminino
Sexo;;0;NA
Sexo;;9;NA
MARCA_UTI;Indica qual o tipo de UTI utilizada pelo paciente;0;Não utilizou UTI
MARCA_UTI;Indica qual o tipo de UTI utilizada pelo paciente;74;UTI adulto - tipo I
MARCA_UTI;Indica qual o tipo de UTI utilizada pelo paciente;75;UTI adulto - tipo II
MARCA_UTI;Indica qual o tipo de UTI utilizada pelo paciente;76;UTI adulto - tipo III
MARCA_UTI;Indica qual o tipo de UTI utilizada pelo paciente;77;UTI infantil - tipo I
MARCA_UTI;Indica qual o tipo de UTI utilizada pelo paciente;78;UTI infantil - tipo II
MARCA_UTI;Indica qual o tipo de UTI utilizada pelo paciente;79;UTI infantil - tipo III
MARCA_UTI;Indica qual o tipo de UTI utilizada pelo paciente;80;UTI neonatal - tipo I
MARCA_UTI;Indica qual o tipo de UTI utilizada pelo paciente;81;UTI neonatal - tipo II
MARCA_UTI;Indica qual o tipo de UTI utilizada pelo paciente;82;UTI neonatal - tipo III
MARCA_UTI;Indica qual o tipo de UTI utilizada pelo paciente;83;UTI de queimados
MARCA_UTI;Indica qual o tipo de UTI utilizada pelo paciente;85;UTI coronariana tipo II - UCO tipo II
MARCA_UTI;Indica qual o tipo de UTI utilizada pelo paciente;86;UTI coronariana tipo III - UCO tipo III
MARCA_UTI;Indica qual o tipo de UTI utilizada pelo paciente;99;UTI Doador
MARCA_UTI;Indica qual o tipo de UTI utilizada pelo paciente;1;Utilizou mais de um tipo de UTI
COBRANCA;Motivo de saída/permanência;11;Alta curado
COBRANCA;Motivo de saída/permanência;12;Alta melhorado
